"CANDIDATE","NAME"
1,"Jeffrey D. Ullman"
2,"Vipin Kumar"
3,"Michael Stonebraker"
4,"Vern Paxson"
5,"C. A. R. Hoare"
6,"Carl Kesselman"
7,"W. Bruce Croft"
8,"Stefano Ceri"
9,"Giuseppe De Giacomo"
10,"Dieter Fensel"
11,"Luca Cardelli"
12,"Nicholas R. Jennings"
13,"Daphne Koller"
14,"Ian T. Foster"
15,"C. Lee Giles"
16,"Frank van Harmelen"
17,"Jason Cong"
18,"Benjamin C. Pierce"
19,"David Maier"
20,"Christos Faloutsos"
21,"Geoffrey E. Hinton"
22,"Alon Y. Halevy"
23,"Joachim Weickert"
24,"Edmund M. Clarke"
25,"David J. DeWitt"
26,"Christian S. Jensen"
27,"Ahmed K. Elmagarmid"
28,"Serge Abiteboul"
29,"Deborah L. McGuinness"
30,"Hector Garcia-Molina"
31,"Amit P. Sheth"
32,"Sushil Jajodia"
33,"Demetri Terzopoulos"
34,"Ben Bederson"
35,"Ramesh Govindan"
36,"Nancy Lynch"
37,"David Harel"
38,"Steffen Staab"
39,"Mario Gerla"
40,"Michael J. Carey"
