"VOTER","CANDIDATE","VOTE"
1,1,0
1,2,0
1,3,0
1,4,0
1,5,2
1,6,2
1,7,0
1,8,0
1,9,4
1,10,0
1,11,0
1,12,0
1,13,3
1,14,4
1,15,3
1,16,0
1,17,0
2,1,4
2,2,0
2,3,0
2,4,0
2,5,3
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,3
2,15,0
2,16,0
2,17,0
3,1,0
3,2,0
3,3,3
3,4,2
3,5,2
3,6,2
3,7,2
3,8,0
3,9,4
3,10,0
3,11,0
3,12,0
3,13,0
3,14,4
3,15,3
3,16,0
3,17,0
4,1,4
4,2,4
4,3,4
4,4,4
4,5,2
4,6,1
4,7,3
4,8,3
4,9,2
4,10,1
4,11,1
4,12,3
4,13,3
4,14,4
4,15,2
4,16,3
4,17,1
5,1,2
5,2,1
5,3,1
5,4,0
5,5,1
5,6,1
5,7,1
5,8,2
5,9,0
5,10,0
5,11,0
5,12,0
5,13,1
5,14,2
5,15,2
5,16,0
5,17,1
6,1,0
6,2,0
6,3,4
6,4,4
6,5,1
6,6,3
6,7,0
6,8,0
6,9,4
6,10,0
6,11,0
6,12,0
6,13,3
6,14,4
6,15,0
6,16,0
6,17,0
7,1,4
7,2,3
7,3,2
7,4,1
7,5,0
7,6,0
7,7,2
7,8,0
7,9,2
7,10,3
7,11,3
7,12,2
7,13,0
7,14,2
7,15,2
7,16,0
7,17,1
8,1,0
8,2,0
8,3,4
8,4,0
8,5,3
8,6,3
8,7,0
8,8,0
8,9,4
8,10,0
8,11,0
8,12,0
8,13,0
8,14,4
8,15,3
8,16,0
8,17,0
9,1,0
9,2,0
9,3,3
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
11,1,4
11,2,4
11,3,4
11,4,0
11,5,4
11,6,4
11,7,0
11,8,0
11,9,4
11,10,0
11,11,4
11,12,0
11,13,0
11,14,4
11,15,4
11,16,0
11,17,2
12,1,3
12,2,4
12,3,3
12,4,0
12,5,2
12,6,0
12,7,0
12,8,0
12,9,0
12,10,0
12,11,2
12,12,3
12,13,0
12,14,3
12,15,2
12,16,0
12,17,2
13,1,4
13,2,4
13,3,3
13,4,0
13,5,2
13,6,0
13,7,0
13,8,0
13,9,2
13,10,2
13,11,3
13,12,0
13,13,0
13,14,3
13,15,1
13,16,0
13,17,0
14,1,0
14,2,4
14,3,3
14,4,0
14,5,4
14,6,4
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,0
14,13,3
14,14,0
14,15,3
14,16,0
14,17,2
15,1,2
15,2,2
15,3,0
15,4,0
15,5,2
15,6,0
15,7,4
15,8,4
15,9,0
15,10,4
15,11,2
15,12,2
15,13,3
15,14,4
15,15,3
15,16,0
15,17,3
16,1,0
16,2,0
16,3,3
16,4,0
16,5,3
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
16,11,0
16,12,0
16,13,3
16,14,0
16,15,3
16,16,2
16,17,4
17,1,4
17,2,4
17,3,3
17,4,1
17,5,1
17,6,2
17,7,3
17,8,0
17,9,3
17,10,3
17,11,3
17,12,3
17,13,2
17,14,3
17,15,2
17,16,2
17,17,2
18,1,0
18,2,3
18,3,0
18,4,0
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
18,10,0
18,11,2
18,12,3
18,13,0
18,14,3
18,15,0
18,16,0
18,17,0
19,1,0
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
19,11,0
19,12,0
19,13,0
19,14,0
19,15,0
19,16,0
19,17,0
20,1,0
20,2,0
20,3,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
20,11,0
20,12,0
20,13,0
20,14,0
20,15,0
20,16,0
20,17,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,0
21,11,0
21,12,0
21,13,0
21,14,0
21,15,0
21,16,0
21,17,0
22,1,0
22,2,3
22,3,3
22,4,0
22,5,3
22,6,0
22,7,0
22,8,0
22,9,0
22,10,0
22,11,2
22,12,0
22,13,0
22,14,0
22,15,0
22,16,0
22,17,2
23,1,0
23,2,0
23,3,0
23,4,0
23,5,2
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
23,11,0
23,12,2
23,13,0
23,14,4
23,15,2
23,16,0
23,17,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,3
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,17,3
25,1,4
25,2,4
25,3,2
25,4,0
25,5,3
25,6,0
25,7,4
25,8,0
25,9,1
25,10,4
25,11,3
25,12,4
25,13,0
25,14,4
25,15,1
25,16,0
25,17,0
26,1,4
26,2,0
26,3,4
26,4,0
26,5,0
26,6,0
26,7,0
26,8,0
26,9,4
26,10,0
26,11,0
26,12,0
26,13,0
26,14,4
26,15,4
26,16,0
26,17,0
27,1,4
27,2,3
27,3,4
27,4,3
27,5,0
27,6,0
27,7,4
27,8,0
27,9,3
27,10,3
27,11,0
27,12,4
27,13,4
27,14,4
27,15,2
27,16,0
27,17,0
28,1,4
28,2,0
28,3,3
28,4,0
28,5,3
28,6,0
28,7,0
28,8,0
28,9,0
28,10,0
28,11,0
28,12,0
28,13,0
28,14,0
28,15,0
28,16,0
28,17,0
29,1,0
29,2,0
29,3,4
29,4,0
29,5,3
29,6,2
29,7,0
29,8,0
29,9,4
29,10,0
29,11,0
29,12,0
29,13,0
29,14,4
29,15,0
29,16,0
29,17,0
30,1,3
30,2,0
30,3,3
30,4,2
30,5,2
30,6,3
30,7,0
30,8,0
30,9,4
30,10,0
30,11,0
30,12,0
30,13,0
30,14,3
30,15,2
30,16,0
30,17,0
31,1,3
31,2,0
31,3,3
31,4,0
31,5,3
31,6,2
31,7,0
31,8,0
31,9,0
31,10,0
31,11,0
31,12,0
31,13,2
31,14,0
31,15,2
31,16,0
31,17,2
32,1,4
32,2,0
32,3,0
32,4,0
32,5,0
32,6,0
32,7,0
32,8,0
32,9,0
32,10,0
32,11,0
32,12,0
32,13,0
32,14,0
32,15,0
32,16,0
32,17,0
33,1,4
33,2,4
33,3,3
33,4,2
33,5,1
33,6,3
33,7,3
33,8,0
33,9,3
33,10,2
33,11,3
33,12,2
33,13,2
33,14,3
33,15,3
33,16,2
33,17,2
34,1,0
34,2,4
34,3,4
34,4,0
34,5,2
34,6,0
34,7,0
34,8,0
34,9,3
34,10,3
34,11,3
34,12,0
34,13,0
34,14,4
34,15,0
34,16,0
34,17,0
35,1,4
35,2,0
35,3,0
35,4,0
35,5,0
35,6,0
35,7,0
35,8,0
35,9,0
35,10,0
35,11,0
35,12,0
35,13,0
35,14,0
35,15,0
35,16,0
35,17,0
36,1,4
36,2,3
36,3,0
36,4,3
36,5,3
36,6,3
36,7,3
36,8,3
36,9,4
36,10,3
36,11,0
36,12,4
36,13,3
36,14,4
36,15,3
36,16,0
36,17,3
37,1,0
37,2,4
37,3,3
37,4,0
37,5,1
37,6,0
37,7,0
37,8,0
37,9,0
37,10,0
37,11,0
37,12,2
37,13,0
37,14,2
37,15,2
37,16,3
37,17,0
38,1,3
38,2,0
38,3,0
38,4,0
38,5,0
38,6,0
38,7,0
38,8,0
38,9,0
38,10,0
38,11,0
38,12,0
38,13,0
38,14,0
38,15,0
38,16,0
38,17,0
39,1,0
39,2,0
39,3,0
39,4,4
39,5,0
39,6,0
39,7,0
39,8,0
39,9,0
39,10,0
39,11,3
39,12,0
39,13,0
39,14,0
39,15,0
39,16,0
39,17,0
